"ID","Name","Source","SpectralData","AngularFunction","Thickness","Tsol","Rsol1","Rsol2","Tvis","Rvis1","Rvis2","Tir","emis1","emis2","Conductivity","Comment","Manufacturer","ProductName","Color","Certification","Status","Timestamp","Specularity","Tvis2","Tsol2","MaterialID"
100,"BRONZE_3.DAT","IGDB v11.4",1,0,3.124200,0.645905,0.061815,0.062524,0.679659,0.065255,0.066096,0.000000,0.840000,0.840000,1.000000,,"Generic","Generic Bronze Glass",13620701,"#",256,1510862456,0,0.679659,0.645905,0
101,"BRONZE_6.DAT","IGDB v11.4",1,0,5.740400,0.485604,0.052619,0.052822,0.532856,0.055984,0.056048,0.000000,0.840000,0.840000,1.000000,,"Generic","Generic Bronze Glass",11910859,"#",256,1510862456,0,0.532856,0.485604,0
102,"CLEAR_3.DAT","IGDB v11.4",1,0,3.048000,0.833848,0.074764,0.074854,0.899260,0.082563,0.082564,0.000000,0.840000,0.840000,1.000000,,"Generic","Generic Clear Glass",15856882,"#",256,1510862456,0,0.899260,0.833848,0
103,"CLEAR_6.DAT","IGDB v11.4",1,0,5.715000,0.770675,0.069976,0.070237,0.883647,0.080395,0.080395,0.000000,0.840000,0.840000,1.000000,,"Generic","Generic Clear Glass",15725550,"#",256,1641409674,0,0.883647,0.770675,0
104,"GRAY_3.DAT","IGDB v11.4",1,0,3.124200,0.608956,0.059577,0.060991,0.616937,0.061605,0.062912,0.000000,0.840000,0.840000,1.000000,,"Generic","Generic Grey Glass",13618894,"#",256,1510862456,0,0.616937,0.608956,0
105,"THIN_06.DAT","IGDB v54.0",1,0,0.600000,0.905575,0.082577,0.082634,0.914173,0.085054,0.085426,0.000000,0.840000,0.840000,1.000000,,"Generic","Generic thin glass 0.6 mm",15988213,"",256,1510862592,0,0.914173,0.905575,0
106,"THIN_075.DAT","IGDB v54.0",1,0,0.750000,0.906146,0.082587,0.082569,0.914138,0.085027,0.085734,0.000000,0.840000,0.840000,1.000000,,"Generic","Generic thin glass 0.75 mm",15988213,"",256,1510862592,0,0.914138,0.906146,0
107,"THIN_11.DAT","IGDB v54.0",1,0,1.100000,0.900890,0.081545,0.081761,0.912809,0.085523,0.085569,0.000000,0.840000,0.840000,1.000000,,"Generic","Generic thin glass 1.1 mm",15988213,"",256,1510862593,0,0.912809,0.900890,0
108,"THIN_05.DAT","IGDB v63.0",1,0,0.500000,0.909636,0.082260,0.082260,0.913664,0.085594,0.085594,0.000000,0.840000,0.840000,1.000000,,"Generic","Generic thin glass 0.5 mm",15988213,"",256,1541470895,0,0.913664,0.909636,0
109,"THIN_15.DAT","IGDB v63.0",1,0,1.500000,0.895178,0.081088,0.081088,0.912244,0.085483,0.085483,0.000000,0.840000,0.840000,1.000000,,"Generic","Generic thin glass 1.5 mm",15988213,"",256,1541470895,0,0.912244,0.895178,0
